provider,region,workload,phase,use_case,duration_median,duration_mean,duration_std,duration_var,compute_time_mean,download_time_mean,upload_time_mean,cold_mean,cost_sum,p50_ci_low,p50_ci_high,p95_ci_low,p95_ci_high
aws,eu,110,cold,256,1133.168,1134.2515132275132,50.80751366579637,2581.403444900085,,,,1.0,0.0,1122.288,1142.613,1206.43522,1234.0544
aws,eu,110,cold,512,827.6175000000001,827.7173105263157,34.64056739905481,1199.968909728459,,,,1.0,0.0,822.2468375,835.388725,875.4135999999999,902.6212999999999
aws,eu,110,cold,1024,712.8335,716.9401530612245,30.585568911800582,935.4770256585022,,,,1.0,0.0,709.3615,718.733,763.2405,788.285
aws,eu,110,cold,2048,660.96,664.1034108910891,32.15120830601542,1033.7001955367948,,,,1.0,0.0,656.3138749999999,665.8444999999999,709.223,736.6708
aws,eu,110,cold,3008,663.456,665.5521393034826,31.604022628622754,998.8142463104991,,,,1.0,0.0,657.472,669.011,708.397,733.843
aws,eu,110,warm,256,408.9625,408.3292628865979,17.275460910386272,298.44154966628406,,,,0.0,0.0,406.175,411.3173625,430.5441,447.70125
aws,eu,110,warm,512,411.475,410.95939698492464,17.259340560813218,297.88483659413237,,,,0.0,0.0,407.1,413.633,434.32379999999995,444.423
aws,eu,110,warm,1024,404.208,401.7491798941799,14.630645681691929,214.0557930632107,,,,0.0,0.0,401.132,406.222,418.43912,426.7154
aws,eu,110,warm,2048,409.05949999999996,407.80259042553195,13.976644642869863,195.34659547306282,,,,0.0,0.0,406.987975,410.1575,426.599,435.67545
aws,eu,110,warm,3008,409.23299999999995,410.4952,10.884644250620681,118.47548046256985,,,,0.0,0.0,407.689,410.927,424.69787375,434.815
aws,eu,120,cold,256,3864.792,3862.199532663317,277.0161141297799,76737.92748756325,195970.17085427136,0.0,235540.3015075377,1.0,0.0,3721.473,3941.283,4221.455599999999,4372.625
aws,eu,120,cold,512,2075.2219999999998,2076.413668367347,87.77484784879553,7704.423914879207,99265.77040816327,0.0,162401.83673469388,1.0,0.0,2055.6125,2095.7826875,2193.51225,2250.165
aws,eu,120,cold,1024,1367.3944999999999,1371.2121377551023,64.34636610636022,4140.454831093744,54780.857142857145,0.0,129663.77040816327,1.0,0.0,1359.1605,1375.2271375,1468.52875,1500.5120000000002
aws,eu,120,cold,2048,1162.576,1161.4580707070706,70.24383974258369,4934.19702178178,39345.767676767675,0.0,128203.50505050505,1.0,0.0,1153.503,1175.1064999999999,1256.8278999999998,1302.19965375
aws,eu,120,cold,3008,1157.139,1153.4173804878048,77.99348661386955,6082.983954187848,39482.34146341463,0.0,132183.33658536585,1.0,0.0,1142.433,1169.821,1266.63122,1295.3584
aws,eu,120,warm,256,732.3230000000001,732.7988711340206,34.81000660221883,1211.7365596465186,131977.52577319587,0.0,193740.03092783506,0.0,0.0,727.0625,740.0329,779.07697875,791.553
aws,eu,120,warm,512,618.7815,615.5701302083334,36.90540746922961,1362.0091004698688,63902.427083333336,0.0,141670.30208333334,0.0,0.0,613.273,623.5117875,664.166,692.8111999999999
aws,eu,120,warm,1024,573.093,576.8149492385787,34.804312659224934,1211.3401796810851,36930.21827411168,0.0,123438.37055837564,0.0,0.0,570.051,577.706,620.3232199999999,651.804
aws,eu,120,warm,2048,567.0445,568.1071075268818,38.46843868461025,1479.8207748316183,32673.41935483871,0.0,125713.79569892473,0.0,0.0,560.3534999999999,573.6925875,623.13289375,647.58015
aws,eu,120,warm,3008,566.667,569.6818359788359,32.40107327959622,1049.8295496697642,32494.386243386245,0.0,125536.68783068784,0.0,0.0,563.253,573.92,620.4024,639.1881999999999
aws,eu,220,cold,256,21828.957000000002,21889.65159139785,412.9196841826341,170502.66558548628,17366151.73655914,832701.5752688173,231656.6559139785,1.0,0.0,21790.0013125,21949.248750000002,22500.355,22666.261
aws,eu,220,cold,512,11223.6075,11184.82052688172,249.52698248445316,62263.71498779659,8635240.483870968,410369.82795698923,161933.52688172043,1.0,0.0,11176.489,11241.409525,11500.253,11587.559000000001
aws,eu,220,cold,1024,5898.869,5904.307151351351,126.28013786526542,15946.673219270442,4276549.297297297,206394.3837837838,98795.78378378379,1.0,0.0,5867.107,5918.71,6086.9538,6147.787265
aws,eu,220,cold,2048,3544.499,3566.09487434555,163.3783838241281,26692.496300984116,2210067.664921466,148704.13089005236,92520.3560209424,1.0,0.0,3524.672,3573.905,3826.573,3915.448
aws,eu,220,cold,3008,3031.132,3036.209722513089,144.12973385760725,20773.3801818647,1657064.7434554973,150149.75916230367,98384.58115183246,1.0,0.0,3012.508,3058.618,3257.2965000000004,3336.3215
aws,eu,220,warm,256,16598.720999999998,16644.506784999998,618.1603551511549,382122.224680602,15369732.715,624537.64,220818.455,0.0,0.0,16461.8008625,16762.356,17572.384382499997,17857.011
aws,eu,220,warm,512,8028.173,8028.827296482412,144.9044181077965,20997.290387159097,7142511.864321608,307612.26130653266,158822.87939698494,0.0,0.0,8000.427,8057.529,8213.758465,8285.9216
aws,eu,220,warm,1024,4229.353499999999,4236.955110465116,79.00582380513518,6241.920195128064,3549127.5988372094,180575.02906976745,100648.69767441861,0.0,0.0,4218.0805,4244.773,4348.23905,4400.307049999999
aws,eu,220,warm,2048,2423.1530000000002,2421.0146122448978,58.063059691698044,3371.31890076169,1765119.892857143,149776.5,89945.95918367348,0.0,0.0,2412.79605,2429.037,2497.967,2542.9215
aws,eu,220,warm,3008,1930.9425,1929.0017872340427,57.54061725998752,3310.922634660374,1258517.5372340425,154771.27659574468,102693.20212765958,0.0,0.0,1916.876,1939.350275,2016.333,2046.4049912500002
