provider,region,workload,phase,use_case,request_id,duration_ms,fn_ms,init_ms,exec_ms,cold,failure,cost_gb_seconds,compute_time,download_time,upload_time,source_file
aws,us,220,warm,3008,94adeec5-c7d3-4b38-940a-cba95be11fe5,1924.605,1512.0489597320557,0.0,0.0,False,False,0.0,1245334.0,141899.0,124708.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,962b133a-017f-44ca-90a3-19950757394d,1970.571,1561.3739490509033,0.0,0.0,False,False,0.0,1162718.0,160496.0,238064.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,97fb2ce4-12c1-46cf-81cf-b1b75b0d4080,2461.608,2054.4168949127197,0.0,0.0,False,False,0.0,1775270.0,175199.0,103836.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,98e86341-4a98-4679-8cb3-cb80f681c25d,1903.674,1493.6678409576416,0.0,0.0,False,False,0.0,1222104.0,159305.0,112155.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,99bbbcd9-d7eb-48e2-b096-88292677844e,1826.558,1421.46897315979,0.0,0.0,False,False,0.0,1230541.0,134929.0,55892.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,9b75372f-ea0d-4a0a-a85c-ac322a86bdf6,2090.393,1665.8070087432861,0.0,0.0,False,False,0.0,1352464.0,146272.0,166951.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,9b78e08e-abb3-408f-87f7-e547cc213a35,2457.29,2043.8189506530762,0.0,0.0,False,False,0.0,1425220.0,465356.0,153125.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,9bb8c514-31d0-4b86-9159-85ec2ab987ff,1934.665,1498.8300800323486,0.0,0.0,False,False,0.0,1263958.0,135408.0,99356.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,9c573c6a-3e08-48a7-8ef0-4aedee688976,2018.698,1612.840175628662,0.0,0.0,False,False,0.0,1302740.0,137360.0,172628.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,9dabc621-fde3-4449-abc4-05ef6bd61cf2,1878.977,1455.2459716796875,0.0,0.0,False,False,0.0,1231080.0,137834.0,86222.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,a1502cb3-0604-4a35-ba52-5e166f84a523,1904.4,1475.8830070495605,0.0,0.0,False,False,0.0,1270572.0,168031.0,37163.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,a1d9af17-68db-47b1-ba53-d4222e474c21,2016.807,1611.1090183258057,0.0,0.0,False,False,0.0,1348560.0,153278.0,109163.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,a2f74adf-2ebf-4c8a-b9c4-ea1d651a4437,1960.133,1557.204008102417,0.0,0.0,False,False,0.0,1268069.0,149168.0,139861.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,a4d0770e-8ab6-4914-bf3f-8bb4596d65eb,1961.738,1531.816005706787,0.0,0.0,False,False,0.0,1261304.0,161086.0,109307.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,a61d2bd3-398c-4209-b39e-762dd3f8bd5c,2145.504,1738.6000156402588,0.0,0.0,False,False,0.0,1346020.0,199693.0,192775.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,a8838246-f038-401e-8eb9-2f24d436a168,1872.874,1484.295129776001,0.0,0.0,False,False,0.0,1271699.0,143481.0,68998.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,a8a6516b-6de4-49f0-a0cd-eb6aabef41b2,2000.177,1584.8760604858398,0.0,0.0,False,False,0.0,1273819.0,207321.0,103625.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,aa1efd3d-0505-44cc-87af-4fe2cbf53b5a,2392.595,1998.687982559204,0.0,0.0,False,False,0.0,1665713.0,180071.0,152791.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,ae7391b9-c3f0-4bcb-90ee-86651152566e,1913.281,1507.6851844787598,0.0,0.0,False,False,0.0,1242586.0,153844.0,111149.0,aws_us_220_warm_results_3008.json
aws,us,220,warm,3008,afb661bf-0d82-42fa-baf3-6152d7cf5fd8,1903.18,1497.3890781402588,0.0,0.0,False,False,0.0,1233142.0,132522.0,131616.0,aws_us_220_warm_results_3008.json
